,觀測時間,溫度(°C),溫度(°F),天氣,風向,風力 (m/s)|(級),陣風 (m/s)|(級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,10/30 14:00,26.5,79.7,-,南南西,0.3 | 1,-,-,54,-,0.0,-
1,10/30 13:00,26.6,79.9,-,靜風,0.0 | 0,-,-,52,-,0.0,-
2,10/30 12:00,26.8,80.2,-,靜風,0.0 | 0,-,-,51,-,0.0,-
3,10/30 11:00,26.0,78.8,-,東,0.6 | 1,11.4 | 6,-,53,-,0.0,-
4,10/30 10:00,25.0,77.0,-,靜風,0.0 | 0,-,-,55,-,0.0,-
5,10/30 09:00,23.7,74.7,-,靜風,0.0 | 0,-,-,58,-,0.0,-
6,10/30 08:00,22.6,72.7,-,東南東,0.5 | 1,-,-,60,-,0.0,-
7,10/30 07:00,20.9,69.6,-,靜風,0.0 | 0,5.4 | 3,-,65,-,0.0,-
8,10/30 06:00,20.5,68.9,-,靜風,0.0 | 0,-,-,61,-,0.0,-
9,10/30 05:00,20.6,69.1,-,靜風,0.2 | 0,-,-,60,-,0.0,-
10,10/30 04:00,20.5,68.9,-,東,0.4 | 1,-,-,59,-,0.0,-
11,10/30 03:00,19.6,67.3,-,東,0.3 | 1,-,-,59,-,0.0,-
12,10/30 02:00,18.7,65.7,-,靜風,0.0 | 0,-,-,59,-,0.0,-
13,10/30 01:00,19.6,67.3,-,靜風,0.2 | 0,-,-,57,-,0.0,-
14,10/30 00:00,19.5,67.1,-,靜風,0.2 | 0,-,-,56,-,0.0,-
15,10/29 23:00,19.1,66.4,-,靜風,0.0 | 0,-,-,59,-,0.0,-
16,10/29 22:00,19.0,66.2,-,靜風,0.0 | 0,-,-,58,-,0.0,-
17,10/29 21:00,19.7,67.5,-,靜風,0.0 | 0,-,-,56,-,0.0,-
18,10/29 20:00,19.9,67.8,-,靜風,0.0 | 0,-,-,51,-,0.0,-
19,10/29 19:00,20.3,68.5,-,靜風,0.0 | 0,-,-,52,-,0.0,-
20,10/29 18:00,21.1,70.0,-,東北東,0.3 | 1,-,-,49,-,0.0,-
21,10/29 17:00,22.0,71.6,-,東北東,0.3 | 1,5.5 | 4,-,46,-,0.0,-
22,10/29 16:00,23.8,74.8,-,東南,0.3 | 1,-,-,45,-,0.0,-
23,10/29 15:00,24.9,76.8,-,靜風,0.2 | 0,-,-,43,-,0.0,-
24,10/29 14:00,26.1,79.0,-,靜風,0.0 | 0,-,-,42,-,0.0,-
