,觀測時間,溫度(°C),溫度(°F),天氣,風向,風力 (m/s)|(級),陣風 (m/s)|(級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,10/30 15:10,25.4,77.7,晴,東北,4.0 | 3,16.0 | 7,-,54,1011.7,0.0,8.8
1,10/30 15:00,25.6,78.1,晴,東北,4.5 | 3,16.0 | 7,-,53,1011.6,0.0,8.6
2,10/30 14:50,25.7,78.3,晴,東北,4.3 | 3,18.0 | 8,12.0,53,1011.7,0.0,8.4
3,10/30 14:40,25.6,78.1,晴,東北,5.2 | 3,18.0 | 8,12.0,53,1011.6,0.0,8.3
4,10/30 14:30,25.6,78.1,晴,東北,5.2 | 3,18.0 | 8,12.0,52,1011.4,0.0,8.1
5,10/30 14:20,25.9,78.6,晴,東北,4.3 | 3,18.0 | 8,12.0,51,1011.4,0.0,7.9
6,10/30 14:10,26.1,79.0,晴,東北,4.2 | 3,18.0 | 8,12.0,51,1011.4,0.0,7.8
7,10/30 14:00,26.2,79.2,晴,東北東,5.5 | 4,18.0 | 8,12.0,50,1011.5,0.0,7.6
8,10/30 13:50,26.4,79.5,晴,東北,4.8 | 3,17.0 | 7,-,50,1011.5,0.0,7.4
9,10/30 13:40,26.2,79.2,晴,東北,4.6 | 3,17.0 | 7,-,50,1011.5,0.0,7.3
10,10/30 13:30,26.3,79.3,晴,東北,5.1 | 3,17.0 | 7,-,49,1011.5,0.0,7.1
11,10/30 13:20,26.5,79.7,晴,北北東,3.9 | 3,17.0 | 7,-,49,1011.6,0.0,6.9
12,10/30 13:10,26.5,79.7,晴,東北,4.0 | 3,17.0 | 7,-,49,1011.7,0.0,6.8
13,10/30 13:00,26.6,79.9,晴,東北,4.5 | 3,17.0 | 7,-,48,1011.7,0.0,6.6
14,10/30 12:50,26.2,79.2,晴,東北,6.0 | 4,17.5 | 8,-,49,1011.9,0.0,6.4
15,10/30 12:40,26.4,79.5,晴,東北,6.2 | 4,17.5 | 8,-,49,1012.1,0.0,6.3
16,10/30 12:30,26.4,79.5,晴,東北,4.5 | 3,17.5 | 8,-,49,1012.4,0.0,6.1
17,10/30 12:20,26.1,79.0,晴,東北,6.3 | 4,17.5 | 8,-,48,1012.3,0.0,5.9
18,10/30 12:10,26.3,79.3,晴,北北東,5.6 | 4,17.5 | 8,-,49,1012.5,0.0,5.8
19,10/30 12:00,26.7,80.1,晴,東北,5.0 | 3,17.5 | 8,-,48,1012.6,0.0,5.6
20,10/30 11:50,26.5,79.7,晴,東北,5.5 | 4,19.5 | 8,20.0,49,1012.6,0.0,5.4
21,10/30 11:40,26.1,79.0,晴,東北,6.3 | 4,19.5 | 8,20.0,48,1012.7,0.0,5.3
22,10/30 11:30,26.2,79.2,晴,東北東,5.9 | 4,19.5 | 8,20.0,49,1012.8,0.0,5.1
23,10/30 11:20,26.1,79.0,晴,東北,6.4 | 4,19.5 | 8,20.0,49,1012.8,0.0,4.9
24,10/30 11:10,26.1,79.0,晴,東北東,5.3 | 3,19.5 | 8,20.0,49,1012.8,0.0,4.8
25,10/30 11:00,26.0,78.8,晴,東北,4.5 | 3,19.5 | 8,20.0,48,1012.8,0.0,4.6
26,10/30 10:50,26.0,78.8,晴,東北,5.8 | 4,16.0 | 7,-,49,1013.0,0.0,4.4
27,10/30 10:40,25.8,78.4,晴,東北,7.0 | 4,16.0 | 7,-,49,1013.2,0.0,4.3
28,10/30 10:30,25.9,78.6,晴,東北,6.0 | 4,16.0 | 7,-,49,1013.2,0.0,4.1
29,10/30 10:20,26.0,78.8,晴,東北,5.0 | 3,16.0 | 7,-,48,1013.0,0.0,3.9
30,10/30 10:10,25.5,77.9,晴,東北,5.2 | 3,16.0 | 7,-,49,1013.2,0.0,3.8
31,10/30 10:00,25.5,77.9,晴,北北東,5.0 | 3,16.0 | 7,-,50,1013.3,0.0,3.6
32,10/30 09:50,25.3,77.5,晴,東北,6.5 | 4,17.0 | 7,20.0,51,1013.3,0.0,3.4
33,10/30 09:40,25.0,77.0,晴,東北,6.3 | 4,17.0 | 7,20.0,51,1013.4,0.0,3.3
34,10/30 09:30,24.8,76.6,晴,北北東,5.4 | 3,17.0 | 7,20.0,52,1013.1,0.0,3.1
35,10/30 09:20,24.6,76.3,晴,北北東,5.2 | 3,17.0 | 7,20.0,53,1013.0,0.0,2.9
36,10/30 09:10,24.4,75.9,晴,東北,5.3 | 3,17.0 | 7,20.0,54,1012.9,0.0,2.8
37,10/30 09:00,24.5,76.1,晴,東北,5.5 | 4,17.0 | 7,20.0,55,1012.9,0.0,2.6
38,10/30 08:50,24.1,75.4,晴,北北東,4.7 | 3,15.0 | 7,20.0,55,1012.9,0.0,2.4
39,10/30 08:40,23.9,75.0,晴,東北,5.2 | 3,15.0 | 7,20.0,56,1012.9,0.0,2.3
40,10/30 08:30,24.0,75.2,晴,東北,4.7 | 3,15.0 | 7,20.0,57,1012.9,0.0,2.1
41,10/30 08:20,23.7,74.7,晴,東北,4.9 | 3,15.0 | 7,20.0,57,1012.8,0.0,1.9
42,10/30 08:10,23.4,74.1,晴,東北,4.2 | 3,15.0 | 7,20.0,58,1012.7,0.0,1.8
43,10/30 08:00,23.2,73.8,晴,東北,4.5 | 3,15.0 | 7,20.0,58,1012.7,0.0,1.6
44,10/30 07:50,23.0,73.4,X,東北,4.5 | 3,14.0 | 7,-,59,1012.7,0.0,1.4
45,10/30 07:40,22.8,73.0,X,東北,4.0 | 3,14.0 | 7,-,60,1012.7,0.0,1.3
46,10/30 07:30,22.6,72.7,X,東北,4.3 | 3,14.0 | 7,-,60,1012.6,0.0,1.1
47,10/30 07:20,22.4,72.3,X,北北東,4.4 | 3,14.0 | 7,-,61,1012.6,0.0,0.9
48,10/30 07:10,22.1,71.8,X,東北,5.0 | 3,14.0 | 7,-,61,1012.8,0.0,0.8
49,10/30 07:00,21.9,71.4,X,北北東,4.5 | 3,14.0 | 7,-,62,1012.6,0.0,0.6
50,10/30 06:50,21.7,71.1,X,北北東,4.3 | 3,13.5 | 6,-,62,1012.6,0.0,0.4
51,10/30 06:40,21.7,71.1,X,北北東,4.7 | 3,13.5 | 6,-,62,1012.4,0.0,0.3
52,10/30 06:30,21.6,70.9,X,北北東,4.7 | 3,13.5 | 6,-,62,1012.4,0.0,0.1
53,10/30 06:20,21.6,70.9,X,北北東,4.1 | 3,13.5 | 6,-,62,1012.4,0.0,0.0
54,10/30 06:10,21.5,70.7,X,北北東,4.2 | 3,13.5 | 6,-,62,1012.1,0.0,0.0
55,10/30 06:00,21.6,70.9,X,北北東,4.5 | 3,13.5 | 6,-,62,1012.1,0.0,0.0
56,10/30 05:50,21.6,70.9,晴,北北東,3.5 | 3,15.5 | 7,12.0,61,1012.0,0.0,0.0
57,10/30 05:40,21.6,70.9,晴,東北,4.2 | 3,15.5 | 7,12.0,61,1011.9,0.0,0.0
58,10/30 05:30,21.6,70.9,晴,東北,3.3 | 2,15.5 | 7,12.0,61,1011.7,0.0,0.0
59,10/30 05:20,21.5,70.7,晴,北北東,3.4 | 3,15.5 | 7,12.0,61,1011.6,0.0,0.0
60,10/30 05:10,21.6,70.9,晴,北北東,2.9 | 2,15.5 | 7,12.0,60,1011.5,0.0,0.0
61,10/30 05:00,21.6,70.9,晴,東北,3.0 | 2,15.5 | 7,12.0,60,1011.3,0.0,0.0
62,10/30 04:50,21.6,70.9,X,東北,2.7 | 2,15.5 | 7,-,60,1011.4,0.0,0.0
63,10/30 04:40,21.6,70.9,X,東北,4.2 | 3,15.5 | 7,-,59,1011.4,0.0,0.0
64,10/30 04:30,21.6,70.9,X,東北,4.1 | 3,15.5 | 7,-,59,1011.5,0.0,0.0
